solutions,init,weight,type,exp,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18
0,1.0,0.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.0,0.25,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.25,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1.0,1.0,4,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.0,1.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,1.0,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.0,2.25,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,2.25,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1.0,4.0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.0,4.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,4.0,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1.0,9.0,4,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0001,0.0,2,1,1.000099754465899,1.000099754261711,1.000099495309939,1.000099494726808,1.000099223845491,1.000099222907449,1.000098952735636,1.000098951488667,1.000098684133785,1.000098682609473,1.000098418312006,1.000098416531483,1.000098155198292,1.000098153176776,1.000097894670832,1.000097892420157,1.000097636616163
1,0.0,0.0,2,0,-4.382819109385611e-08,-6.385189815988693e-08,-1.9972775228453091e-07,-1.724421881015622e-07,-3.2173432889712715e-07,-2.856173963606407e-07,-4.3602493170072707e-07,-3.9768513795577186e-07,-5.470716468222031e-07,-5.081256574169557e-07,-6.559751804689415e-07,-6.169537248661669e-07,-7.630807670831046e-07,-7.242020485026188e-07,-8.685182838696036e-07,-8.29888184051414e-07,-9.72346758033437e-07
1,1.0001,0.0,4,1,0.999967978257392,0.999967919418656,0.9999629945446791,0.9999629155084071,0.9999588779748271,0.9999588085280121,0.999960695024602,0.999960642505587,0.999958270702004,0.9999582261740381,0.999960212088917,0.9999601796463401,0.9999581634591651,0.9999581348602461,0.9999598258250901,0.99995980541364,0.9999580244093221
1,0.0,0.249950007499,4,1,0.07002479653356444,0.07004054883813969,0.100232699355671,0.100345212461422,0.12419829852220801,0.12429157146597401,0.14408515014554002,0.144232056568059,0.161358792660617,0.16148318983488502,0.17670317689125,0.17686570479844602,0.19065329640008302,0.190795717898248,0.20344730492457003,0.20362026976760803,0.215349753355625
1,1.0001,0.25005000250000003,4,0,0.9975640050433541,0.9975603051871941,0.995270985503036,0.9952620313798661,0.9924028021472721,0.9923881454165151,0.9898420591265291,0.9898231261790191,0.9870792958628131,0.987056071247784,0.9845278229525711,0.9845010206192331,0.981856919901362,0.981826475636926,0.9793419380828311,0.9793082874330201,0.9767446568090381
1,0.0,0.999800029996,4,1,0.0,0.0,0.01557940070133827,0.015606687028878952,0.00900622055031614,0.009021503751381483,0.024029499661590303,0.02407295177443157,0.02181469928018201,0.02185102587699118,0.03274210273441601,0.03279731138955837,0.033327715056000934,0.033380526452987745,0.04204448892271711,0.04211106582933363,0.043977687767321014
1,1.0001,1.0,4,-1,0.9903540082913731,0.9903393882953171,0.9812371927734911,0.981204142937777,0.9698166157584921,0.9697604517678861,0.9596746757212331,0.959602519032658,0.9487229348150291,0.9486337019020791,0.9386732734493911,0.938570579704818,0.928139539149295,0.928022579635254,0.918287109028675,0.9181581363618531,0.908096207280302
1,1.0001,1.00020001,4,0,0.9903520854012401,0.9903374624928071,0.9968227101659131,0.9968169567975,0.9788158182461071,0.9787749235042181,0.9837098152279651,0.983681121758542,0.9705326579594391,0.9704797411188361,0.971418873296197,0.9713713953162111,0.9614638950453581,0.961399739622205,0.960333833541927,0.9602714423946881,0.9520714383916451
1,0.0,2.249550067491001,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112116136594105,0.01595645462621246,-0.016314912273073922,-0.02168192507776061,0.03516980721970127,0.044548573752486546,-0.034096410077666464,-0.04182646935660763,0.054595612314662145,0.06522627094247845
1,1.0001,2.2504500225,4,0,0.9783322193310511,0.978299391335494,1.051501423896717,1.051600425171078,0.8499373130023491,0.849652695085758,1.123384564653553,1.123635783154923,0.808957338003721,0.8085605152462321,1.09168489681967,1.091946657444356,0.8244920963052701,0.824060734752862,1.046203969834903,1.046457224430375,0.834897948898601
1,0.0,3.999200119984002,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033777365488651324,0.034308985359079246,-0.14554068143709
1,1.0001,4.0,4,1,0.9615120983933181,0.961453794925297,1.029572015599178,1.029662375362627,0.57687082567442,0.5760950189235371,1.600789696824524,1.601991565103051,-0.234567139460607,-0.237161652242165,2.16135833112766,2.164944708637875,-0.7457039546753711,-0.752302106349334,2.548608688425826,2.558530008622392,-1.464314868413398
1,1.0001,4.00080004,4,0,0.961504406832786,0.9614460917152571,1.237445885634465,1.237900325516885,-0.031348215743931214,-0.03329845258766506,3.120680081848538,3.124758412660023,-2.305226131687745,-2.312413066618917,4.964537337123837,4.97599637001423,-3.685599042752759,-3.704634929887861,6.2475479026447545,6.277697025085085,-5.552852239295788
1,1.0001,9.0,4,-1,0.9134422485632231,0.9133111393086001,1.489668106265229,1.4907598013213281,-4.997373065196844,-5.008596423736974,31.628481409238802,31.686388954462412,-103.9549175006273,-104.17638893236021,262.2996731107686,263.0844753442567,-567.7187776710537,-570.6448645491114,1292.635769499128,1303.272760318321,-3354.9622709455844
2,1.001,0.0,2,1,1.000976232275641,1.000976049237533,1.000952815386108,1.000952352120989,1.000929855311967,1.000929190755388,1.000908330285562,1.0009075350494,1.000888236249875,1.000887354078869,1.000869431716091,1.000868490272024,1.000851773655717,1.000850791489764,1.000835137520457,1.000834127701389,1.000819417460843
2,0.0,0.0,2,0,-3.8820163895943e-06,-5.9682788728782085e-06,-1.689178344782202e-05,-1.5047680126166993e-05,-2.5515953552563565e-05,-2.3264350581688953e-05,-3.2556665207362716e-05,-3.03802946004187e-05,-3.860013055708573e-05,-3.657126395737419e-05,-4.387998808033297e-05,-4.199905525467674e-05,-4.853491335211209e-05,-4.6788451470318466e-05,-5.266383019452565e-05,-5.1036790056833293e-05,-5.634321216588246e-05
2,1.001,0.0,4,1,0.9996868841662511,0.9996814061829421,0.9996362078873481,0.999629236719698,0.9995881768295931,0.999582152093728,0.9995963512468691,0.999591689282289,0.9995664580218291,0.99956245275191,0.9995758905293121,0.9995727090949981,0.9995524183487631,0.9995495601623721,0.9995602861585831,0.9995579242848481,0.9995413413175691
2,0.0,0.24950074900124802,4,1,0.216515540057021,0.216905090201566,0.300750376657895,0.30358526422764803,0.364472589514786,0.36637927679673404,0.412703528363759,0.415644168486466,0.452955004161644,0.455004201243065,0.48588788400361904,0.48856321670615704,0.51488125893597,0.516831909149035,0.539563009989662,0.541964413190629,0.5619431821626131
2,1.001,0.25050024999999904,4,0,0.976623530860359,0.9762952422899931,0.956511463790194,0.9558215501981341,0.9327158470207451,0.9317191205613661,0.913314713964353,0.912171771451417,0.8933061994802101,0.8920430856799021,0.8762898514412351,0.8749707036141281,0.8591081120768601,0.8577385083980411,0.8440926041043091,0.842704154158415,0.829033288411638
2,0.0,0.9980029960049941,4,1,0.0,0.0,0.141635555153227,0.14367492769607101,0.0762596266600978,0.07717035457545761,0.200179052063084,0.202667956599408,0.16963158570980702,0.171321113432525,0.25145504722273504,0.25394375489195103,0.24061456036751802,0.24259683955680703,0.299865236141572,0.30229000219288005,0.297148179643062
2,1.001,1.0,4,-1,0.907617701377445,0.906323559662036,0.8307412881568421,0.8283229840686751,0.7385221567101561,0.7348901701678061,0.6683139531284411,0.66432467037439,0.593613528174699,0.589191738000545,0.534914591820406,0.5304445236817811,0.47307569956975104,0.468454227953469,0.423428757991601,0.41887018069223403,0.371042448753292
2,1.001,1.002000999999999,4,0,0.9074334709426841,0.9061367506111481,0.9729349110061171,0.9725635701071841,0.8141602599247351,0.8114294461537801,0.8689856539027241,0.8674924316784901,0.762811219344199,0.760072444860978,0.7866815578525971,0.7847046255344361,0.7133907272208341,0.7107472139947091,0.7235058161237611,0.721374920010272,0.6679647293498641
2,0.0,2.245506741011237,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272814410570402,0.360441644970036,-0.38499797156216603,-0.48072069984714305,0.7965894329766511,0.9532235688398961,-0.7904480052144761,-0.9263440193754061,1.222481210091259,1.3989348333073242
2,1.001,2.254502249999999,4,0,0.792116704413226,0.789205931146405,1.486299588057258,1.4943505348680701,-0.32715432185230103,-0.346437950394479,2.10552613139613,2.122435285721883,-0.659555616083884,-0.683955468849993,2.017490298288852,2.038122813075023,-0.7325236975511601,-0.761635066996164,2.018139825185066,2.044009689301558,-0.9450456018856941
2,0.0,3.9920119840199773,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.738301841342393,1.789983541801996,-7.232631295967465
2,1.001,4.0,4,1,0.6314101530110261,0.6262500200993191,1.32348954377889,1.332511439873456,-2.671291750134997,-2.722149237464118,6.295927079994188,6.374616924194436,-9.57743852426215,-9.734175649684698,14.016159680310869,14.29405702412943,-22.792018167048532,-23.347109112041302,38.38262959802161,39.388672596298,-66.50130465270679
2,1.001,4.008003999999999,4,0,0.630673231271984,0.6255027838957661,3.225593892480526,3.262007841849495,-8.167220608585017,-8.30063266730563,19.28296662424206,19.53648964054972,-28.30920472017204,-28.76576271729636,43.51567351726019,44.37831153154461,-68.29566747844757,-69.978887470618,117.0633584641555,120.10802629350282,-194.9005529957845
